Hawking primary spectra for each particle types.
energy/particle         photon         gluons          higgs            W+-             Z0      neutrinos       electron           muon            tau             up           down          charm        strange            top         bottom
    7.82964e+01    1.40690e-06    1.12552e-05    0.00000e+00    0.00000e+00    0.00000e+00    4.16142e-06    2.77428e-06    2.77428e-06    2.77428e-06    8.32283e-06    8.32283e-06    8.32283e-06    8.32283e-06    0.00000e+00    8.32283e-06
    8.72412e+01    5.70372e-10    4.56297e-09    0.00000e+00    1.71112e-09    0.00000e+00    1.67775e-09    1.11850e-09    1.11850e-09    1.11850e-09    3.35551e-09    3.35551e-09    3.35551e-09    3.35551e-09    0.00000e+00    3.35551e-09
    9.72079e+01    7.08627e-14    5.66901e-13    0.00000e+00    2.12588e-13    1.06294e-13    2.08345e-13    1.38897e-13    1.38897e-13    1.38897e-13    4.16690e-13    4.16690e-13    4.16690e-13    4.16690e-13    0.00000e+00    4.16690e-13
    1.08313e+02    3.63936e-18    2.91149e-17    0.00000e+00    1.09181e-17    5.45904e-18    1.05431e-17    7.02870e-18    7.02870e-18    7.02870e-18    2.10861e-17    2.10861e-17    2.10861e-17    2.10861e-17    0.00000e+00    2.10861e-17
    1.20687e+02    6.61846e-23    5.29477e-22    0.00000e+00    1.98554e-22    9.92769e-23    1.89702e-22    1.26468e-22    1.26468e-22    1.26468e-22    3.79403e-22    3.79403e-22    3.79403e-22    3.79403e-22    0.00000e+00    3.79403e-22
    1.34475e+02    3.23331e-28    2.58665e-27    1.56311e-28    9.69994e-28    4.84997e-28    9.21800e-28    6.14533e-28    6.14533e-28    6.14533e-28    1.84360e-27    1.84360e-27    1.84360e-27    1.84360e-27    0.00000e+00    1.84360e-27
    1.49838e+02    3.76567e-34    3.01254e-33    1.80844e-34    1.12970e-33    5.64851e-34    1.06310e-33    7.08731e-34    7.08731e-34    7.08731e-34    2.12619e-33    2.12619e-33    2.12619e-33    2.12619e-33    0.00000e+00    2.12619e-33
    1.66956e+02    8.86763e-41    7.09410e-40    4.23258e-41    2.66029e-40    1.33014e-40    2.45948e-40    1.63965e-40    1.63965e-40    1.63965e-40    4.91895e-40    4.91895e-40    4.91895e-40    4.91895e-40    0.00000e+00    4.91895e-40
    1.86029e+02    3.43376e-48    2.74701e-47    1.62717e-48    1.03013e-47    5.15064e-48    9.50178e-48    6.33452e-48    6.33452e-48    6.33452e-48    1.90036e-47    1.90036e-47    1.90036e-47    1.90036e-47    1.90036e-47    1.90036e-47
    2.07281e+02    2.32890e-56    1.86312e-55    1.08870e-56    6.98669e-56    3.49334e-56    6.53257e-56    4.35505e-56    4.35505e-56    4.35505e-56    1.30651e-55    1.30651e-55    1.30651e-55    1.30651e-55    1.30651e-55    1.30651e-55
    2.30962e+02    1.55529e-65    1.24423e-64    7.23324e-66    4.66586e-65    2.33293e-65    4.14709e-65    2.76472e-65    2.76472e-65    2.76472e-65    8.29417e-65    8.29417e-65    8.29417e-65    8.29417e-65    8.29417e-65    8.29417e-65
